ts,frame_id,sender_ts_s,recv_ts_s,latency_s
2025-11-01T05:38:40Z,0,1761975520.8144007,1761975520.8165793,0.002178668975830078
2025-11-01T05:38:40Z,1,1761975520.8154626,1761975520.8583312,0.042868614196777344
2025-11-01T05:38:40Z,2,1761975520.8784509,1761975520.878759,0.00030803680419921875
2025-11-01T05:38:40Z,3,1761975520.9420986,1761975520.9432793,0.0011806488037109375
2025-11-01T05:38:41Z,4,1761975521.0077078,1761975521.0081124,0.00040459632873535156
2025-11-01T05:38:41Z,5,1761975521.0776417,1761975521.0793998,0.0017580986022949219
2025-11-01T05:38:41Z,6,1761975521.139349,1761975521.139837,0.00048804283142089844
2025-11-01T05:38:41Z,7,1761975521.205173,1761975521.2053967,0.00022363662719726562
2025-11-01T05:38:41Z,8,1761975521.2726912,1761975521.2731278,0.00043654441833496094
2025-11-01T05:38:41Z,9,1761975521.3387604,1761975521.339448,0.0006875991821289062
2025-11-01T05:38:41Z,10,1761975521.4043143,1761975521.4045322,0.00021791458129882812
2025-11-01T05:38:41Z,11,1761975521.4716816,1761975521.4723463,0.0006647109985351562
2025-11-01T05:38:41Z,12,1761975521.537926,1761975521.5382905,0.00036454200744628906
2025-11-01T05:38:41Z,13,1761975521.6050038,1761975521.6054516,0.0004477500915527344
2025-11-01T05:38:41Z,14,1761975521.671602,1761975521.6719654,0.00036334991455078125
2025-11-01T05:38:41Z,15,1761975521.7384953,1761975521.7388916,0.0003962516784667969
2025-11-01T05:38:41Z,16,1761975521.8043528,1761975521.8049812,0.0006284713745117188
2025-11-01T05:38:41Z,17,1761975521.8716748,1761975521.8721864,0.0005116462707519531
2025-11-01T05:38:41Z,18,1761975521.9415908,1761975521.94207,0.0004792213439941406
2025-11-01T05:38:42Z,19,1761975522.0079203,1761975522.0082765,0.0003561973571777344
2025-11-01T05:38:42Z,20,1761975522.075852,1761975522.076399,0.0005471706390380859
2025-11-01T05:38:42Z,21,1761975522.139683,1761975522.1400833,0.00040030479431152344
2025-11-01T05:38:42Z,22,1761975522.2103322,1761975522.210675,0.0003428459167480469
2025-11-01T05:38:42Z,23,1761975522.2758334,1761975522.2762854,0.0004520416259765625
2025-11-01T05:38:42Z,24,1761975522.3375516,1761975522.3378386,0.00028705596923828125
2025-11-01T05:38:42Z,25,1761975522.405104,1761975522.4053962,0.0002923011779785156
2025-11-01T05:38:42Z,26,1761975522.4716659,1761975522.4725294,0.0008635520935058594
2025-11-01T05:38:42Z,27,1761975522.5380032,1761975522.538875,0.0008718967437744141
2025-11-01T05:38:42Z,28,1761975522.6040437,1761975522.6042352,0.0001914501190185547
2025-11-01T05:38:42Z,29,1761975522.671512,1761975522.6717947,0.0002827644348144531
2025-11-01T05:38:42Z,30,1761975522.7379515,1761975522.7402835,0.002331972122192383
2025-11-01T05:38:42Z,31,1761975522.804397,1761975522.8048701,0.0004730224609375
2025-11-01T05:38:42Z,32,1761975522.8708012,1761975522.8709552,0.00015401840209960938
2025-11-01T05:38:42Z,33,1761975522.9384181,1761975522.9389017,0.00048351287841796875
2025-11-01T05:38:43Z,34,1761975523.0052683,1761975523.0058882,0.0006198883056640625
2025-11-01T05:38:43Z,35,1761975523.0780628,1761975523.0788658,0.0008029937744140625
2025-11-01T05:38:43Z,36,1761975523.1436853,1761975523.144469,0.0007836818695068359
2025-11-01T05:38:43Z,37,1761975523.2076454,1761975523.208252,0.000606536865234375
2025-11-01T05:38:43Z,38,1761975523.2748594,1761975523.2752702,0.0004107952117919922
2025-11-01T05:38:43Z,39,1761975523.3430772,1761975523.3434641,0.00038695335388183594
2025-11-01T05:38:43Z,40,1761975523.4066498,1761975523.407145,0.0004951953887939453
2025-11-01T05:38:43Z,41,1761975523.4764068,1761975523.477028,0.0006210803985595703
2025-11-01T05:38:43Z,42,1761975523.540863,1761975523.54141,0.0005469322204589844
2025-11-01T05:38:43Z,43,1761975523.604553,1761975523.6052866,0.0007336139678955078
2025-11-01T05:38:43Z,44,1761975523.6764889,1761975523.676859,0.000370025634765625
2025-11-01T05:38:43Z,45,1761975523.7410002,1761975523.7414513,0.00045108795166015625
2025-11-01T05:38:43Z,46,1761975523.8076267,1761975523.8080366,0.00040984153747558594
2025-11-01T05:38:43Z,47,1761975523.8787308,1761975523.879381,0.0006501674652099609
2025-11-01T05:38:43Z,48,1761975523.9539223,1761975523.9550495,0.0011272430419921875
2025-11-01T05:38:44Z,49,1761975524.0130122,1761975524.0138054,0.0007932186126708984
2025-11-01T05:38:44Z,50,1761975524.0798156,1761975524.0834186,0.0036029815673828125
2025-11-01T05:38:44Z,51,1761975524.1420598,1761975524.1423898,0.0003299713134765625
2025-11-01T05:38:44Z,52,1761975524.2159317,1761975524.2164364,0.0005047321319580078
2025-11-01T05:38:44Z,53,1761975524.2896857,1761975524.2948544,0.0051686763763427734
2025-11-01T05:38:44Z,54,1761975524.3559222,1761975524.3578043,0.0018820762634277344
2025-11-01T05:38:44Z,55,1761975524.417723,1761975524.4183104,0.00058746337890625
2025-11-01T05:38:44Z,56,1761975524.4781396,1761975524.4786706,0.0005309581756591797
2025-11-01T05:38:44Z,57,1761975524.5447342,1761975524.5454469,0.0007126331329345703
2025-11-01T05:38:44Z,58,1761975524.6087985,1761975524.6092982,0.000499725341796875
2025-11-01T05:38:44Z,59,1761975524.6778893,1761975524.6783946,0.0005052089691162109
2025-11-01T05:38:44Z,60,1761975524.743922,1761975524.7462423,0.0023202896118164062
2025-11-01T05:38:44Z,61,1761975524.8109002,1761975524.8119702,0.0010700225830078125
