ts,mbps,fps,bytes_sent,interval_s
2025-11-01T05:38:40Z,0.43484,0.0,54355,0.0
2025-11-01T05:38:40Z,0.003632,0.0,454,0.0
2025-11-01T05:38:40Z,0.036928,0.0,4616,0.0
2025-11-01T05:38:40Z,0.122312,0.0,15289,0.0
2025-11-01T05:38:41Z,0.075088,0.0,9386,0.0
2025-11-01T05:38:41Z,0.41916,0.0,52395,0.0
2025-11-01T05:38:41Z,0.093544,0.0,11693,0.0
2025-11-01T05:38:41Z,0.010568,0.0,1321,0.0
2025-11-01T05:38:41Z,0.079488,0.0,9936,0.0
2025-11-01T05:38:41Z,0.148912,0.0,18614,0.0
2025-11-01T05:38:41Z,0.028096,0.0,3512,0.0
2025-11-01T05:38:41Z,0.142816,0.0,17852,0.0
2025-11-01T05:38:41Z,0.065072,0.0,8134,0.0
2025-11-01T05:38:41Z,0.087264,0.0,10908,0.0
2025-11-01T05:38:41Z,0.067448,0.0,8431,0.0
2025-11-01T05:38:41Z,0.060528,0.0,7566,0.0
2025-11-01T05:38:41Z,0.12688,0.0,15860,0.0
2025-11-01T05:38:41Z,0.086632,0.0,10829,0.0
2025-11-01T05:38:41Z,0.060848,0.0,7606,0.0
2025-11-01T05:38:42Z,0.043744,0.0,5468,0.0
2025-11-01T05:38:42Z,0.087024,0.0,10878,0.0
2025-11-01T05:38:42Z,0.051352,0.0,6419,0.0
2025-11-01T05:38:42Z,0.028696,0.0,3587,0.0
2025-11-01T05:38:42Z,0.069944,0.0,8743,0.0
2025-11-01T05:38:42Z,0.044024,0.0,5503,0.0
2025-11-01T05:38:42Z,0.039744,0.0,4968,0.0
2025-11-01T05:38:42Z,0.187992,0.0,23499,0.0
2025-11-01T05:38:42Z,0.199128,0.0,24891,0.0
2025-11-01T05:38:42Z,0.009952,0.0,1244,0.0
2025-11-01T05:38:42Z,0.034616,0.0,4327,0.0
2025-11-01T05:38:42Z,0.567976,0.0,70997,0.0
2025-11-01T05:38:42Z,0.063488,0.0,7936,0.0
2025-11-01T05:38:42Z,0.009192,0.0,1149,0.0
2025-11-01T05:38:42Z,0.087,0.0,10875,0.0
2025-11-01T05:38:43Z,0.115216,0.0,14402,0.0
2025-11-01T05:38:43Z,0.121584,0.0,15198,0.0
2025-11-01T05:38:43Z,0.09292,0.0,11615,0.0
2025-11-01T05:38:43Z,0.089416,0.0,11177,0.0
2025-11-01T05:38:43Z,0.062592,0.0,7824,0.0
2025-11-01T05:38:43Z,0.04932,0.0,6165,0.0
2025-11-01T05:38:43Z,0.042728,0.0,5341,0.0
2025-11-01T05:38:43Z,0.101536,0.0,12692,0.0
2025-11-01T05:38:43Z,0.063472,0.0,7934,0.0
2025-11-01T05:38:43Z,0.065088,0.0,8136,0.0
2025-11-01T05:38:43Z,0.048008,0.0,6001,0.0
2025-11-01T05:38:43Z,0.0436,0.0,5450,0.0
2025-11-01T05:38:43Z,0.0588,0.0,7350,0.0
2025-11-01T05:38:43Z,0.091704,0.0,11463,0.0
2025-11-01T05:38:43Z,0.081152,0.0,10144,0.0
2025-11-01T05:38:44Z,0.076096,0.0,9512,0.0
2025-11-01T05:38:44Z,0.136464,0.0,17058,0.0
2025-11-01T05:38:44Z,0.038504,0.0,4813,0.0
2025-11-01T05:38:44Z,0.057488,0.0,7186,0.0
2025-11-01T05:38:44Z,0.074944,0.0,9368,0.0
2025-11-01T05:38:44Z,0.116568,0.0,14571,0.0
2025-11-01T05:38:44Z,0.084024,0.0,10503,0.0
2025-11-01T05:38:44Z,0.074568,0.0,9321,0.0
2025-11-01T05:38:44Z,0.102792,0.0,12849,0.0
2025-11-01T05:38:44Z,0.070528,0.0,8816,0.0
2025-11-01T05:38:44Z,0.080264,0.0,10033,0.0
2025-11-01T05:38:44Z,0.531328,0.0,66416,0.0
2025-11-01T05:38:44Z,0.085376,0.0,10672,0.0
2025-11-01T05:38:44Z,0.106536,0.0,13317,0.0
2025-11-01T05:38:44Z,0.115504,0.0,14438,0.0
2025-11-01T05:38:45Z,0.157936,0.0,19742,0.0
2025-11-01T05:38:45Z,0.059904,0.0,7488,0.0
2025-11-01T05:38:45Z,0.07876,0.0,9845,0.0
2025-11-01T05:38:45Z,0.118584,0.0,14823,0.0
2025-11-01T05:38:45Z,0.088112,0.0,11014,0.0
2025-11-01T05:38:45Z,0.064344,0.0,8043,0.0
2025-11-01T05:38:45Z,0.055864,0.0,6983,0.0
2025-11-01T05:38:45Z,0.053672,0.0,6709,0.0
2025-11-01T05:38:45Z,0.044512,0.0,5564,0.0
2025-11-01T05:38:45Z,0.042248,0.0,5281,0.0
2025-11-01T05:38:45Z,0.044864,0.0,5608,0.0
2025-11-01T05:38:45Z,0.143928,0.0,17991,0.0
2025-11-01T05:38:45Z,0.023488,0.0,2936,0.0
2025-11-01T05:38:45Z,0.130272,0.0,16284,0.0
2025-11-01T05:38:45Z,0.096416,0.0,12052,0.0
2025-11-01T05:38:46Z,0.094248,0.0,11781,0.0
2025-11-01T05:38:46Z,0.07712,0.0,9640,0.0
2025-11-01T05:38:46Z,0.087368,0.0,10921,0.0
2025-11-01T05:38:46Z,0.07296,0.0,9120,0.0
2025-11-01T05:38:46Z,0.070648,0.0,8831,0.0
2025-11-01T05:38:46Z,0.0676,0.0,8450,0.0
2025-11-01T05:38:46Z,0.088864,0.0,11108,0.0
2025-11-01T05:38:46Z,0.086616,0.0,10827,0.0
2025-11-01T05:38:46Z,0.075328,0.0,9416,0.0
2025-11-01T05:38:46Z,0.07416,0.0,9270,0.0
2025-11-01T05:38:46Z,0.076304,0.0,9538,0.0
2025-11-01T05:38:46Z,0.480136,0.0,60017,0.0
