ts,cpu_pct,total_mem_kb,used_mem_kb,temp_c
2025-11-01T05:38:45Z,28.92071,8450473984,4645797888,50.15
2025-11-01T05:38:50Z,26.313847,8450473984,4647141376,50.7
2025-11-01T05:38:55Z,17.047161,8450473984,4620124160,49.05
2025-11-01T05:39:00Z,24.04114,8450473984,4607213568,49.05
2025-11-01T05:39:05Z,31.576042,8450473984,4588847104,50.15
2025-11-01T05:39:10Z,30.388103,8450473984,4588584960,50.15
2025-11-01T05:39:15Z,23.363108,8450473984,4853628928,49.6
2025-11-01T05:39:20Z,10.862823,8450473984,4617879552,48.5
2025-11-01T05:39:25Z,11.560861,8450473984,4588142592,48.5
2025-11-01T05:39:30Z,11.128943,8450473984,4522360832,47.95
2025-11-01T05:39:35Z,17.148228,8450473984,4522868736,48.5
2025-11-01T05:39:40Z,10.683035,8450473984,4472012800,47.95
2025-11-01T05:39:45Z,13.491639,8450473984,4540481536,49.05
2025-11-01T05:39:50Z,7.5224733,8450473984,4534239232,47.4
2025-11-01T05:39:55Z,24.669144,8450473984,4618321920,49.6
2025-11-01T05:40:00Z,17.74529,8450473984,4610965504,49.6
2025-11-01T05:40:05Z,31.084875,8450473984,4596465664,50.15
2025-11-01T05:40:10Z,14.296335,8450473984,4570529792,49.05
2025-11-01T05:40:15Z,9.014758,8450473984,4540432384,47.95
2025-11-01T05:40:20Z,6.5774574,8450473984,4512284672,46.85
2025-11-01T05:40:25Z,16.066475,8450473984,4556849152,48.5
2025-11-01T05:40:30Z,21.512386,8450473984,4890427392,48.5
2025-11-01T05:40:35Z,17.508392,8450473984,4698324992,48.5
